SID, First, Last,Exam 1 Score,Exam 1 Max Points,Exam 1 Submission Time,Exam 1 Due Date,Exam 2 Score,Exam 2 Max Points,Exam 2 Submission Time,Exam 2 Due Date,Exam 3 Score,Exam 3 Max Points,Exam 3 Submission Time, Exam 3 Due Date,Exam 4 Score,Exam 4 Max Points,Exam 4 Submission Time,Exam 4 Due Date
OH6BA9C, Krisztina, Huber,77,100,4/29/2022 12:13, 2022-03-27 23:59:59,97,100,10/2/2021 10:49, 2021-12-13 23:59:59,94,100,9/22/2021 7:46, 2022-02-13 23:59:59,93,100,10/23/2021 12:23, 2021-09-29 23:59:5
BMXG3FN, Caesarius, Tenniso,78,100,5/16/2022 7:26, 2022-03-27 23:59:59,95,100,10/25/2021 6:28, 2021-12-13 23:59:59,85,100,1/10/2022 7:31, 2022-02-13 23:59:59,93,100,3/22/2022 21:28, 2021-09-29 23:59:5
H54A5TS, Tye, Hayle,98,100,4/27/2022 12:09, 2022-03-27 23:59:59,74,100,10/20/2021 11:44, 2021-12-13 23:59:59,98,100,2/9/2022 4:59, 2022-02-13 23:59:59,91,100,11/17/2021 7:19, 2021-09-29 23:59:5
QROVINT, Reanna, River,91,100,11/9/2021 4:22, 2022-03-27 23:59:59,93,100,10/19/2021 8:39, 2021-12-13 23:59:59,97,100,10/20/2021 7:26, 2022-02-13 23:59:59,91,100,1/19/2022 0:31, 2021-09-29 23:59:5
ULL76P6, Cali, Woodha,77,100,10/28/2021 5:51, 2022-03-27 23:59:59,66,100,5/12/2022 14:46, 2021-12-13 23:59:59,88,100,10/8/2021 2:51, 2022-02-13 23:59:59,91,100,4/29/2022 5:23, 2021-09-29 23:59:5
HDOOYGV, Alphonzo, Aker,91,100,11/28/2021 10:46, 2022-03-27 23:59:59,79,100,5/18/2022 1:32, 2021-12-13 23:59:59,99,100,12/15/2021 8:19, 2022-02-13 23:59:59,98,100,3/27/2022 9:01, 2021-09-29 23:59:5
91OMF38, Milo, Hai,77,100,2/10/2022 10:10, 2022-03-27 23:59:59,100,100,9/7/2021 19:34, 2021-12-13 23:59:59,95,100,11/17/2021 11:11, 2022-02-13 23:59:59,95,100,9/19/2021 6:18, 2021-09-29 23:59:5
2HYQJQT, Clem, Darc,78,100,4/10/2022 6:20, 2022-03-27 23:59:59,81,100,2/28/2022 3:57, 2021-12-13 23:59:59,100,100,3/18/2022 15:28, 2022-02-13 23:59:59,93,100,5/25/2022 8:16, 2021-09-29 23:59:5
MMBP1HB, Sallie, Whittl,83,100,1/10/2022 10:14, 2022-03-27 23:59:59,69,100,12/16/2021 12:15, 2021-12-13 23:59:59,97,100,3/4/2022 22:31, 2022-02-13 23:59:59,96,100,2/13/2022 23:50, 2021-09-29 23:59:5
4JNHPMA, Indigo, Hardwic,97,100,3/11/2022 14:45, 2022-03-27 23:59:59,74,100,2/6/2022 11:00, 2021-12-13 23:59:59,94,100,12/3/2021 21:31, 2022-02-13 23:59:59,93,100,10/17/2021 11:14, 2021-09-29 23:59:5
E39KSQ5, Elliana, Porte,93,100,6/5/2022 5:19, 2022-03-27 23:59:59,70,100,9/19/2021 2:55, 2021-12-13 23:59:59,93,100,4/25/2022 12:43, 2022-02-13 23:59:59,94,100,2/28/2022 8:26, 2021-09-29 23:59:5
