SID, First, Last,Quiz 1 Score,Quiz 1 Max Points,Quiz 1 Submission Time,Quiz 1 Due Date,Quiz 2 Score,Quiz 2 Max Points,Quiz 2 Submission Time,Quiz 2 Due Date,Quiz 3 Score,Quiz 3 Max Points,Quiz 3 Submission Time,Quiz 3 Due Date,Quiz 4 Score,Quiz 4 Max Points,Quiz 4 Submission Time,Quiz 4 Due Date,Quiz 5 Score,Quiz 5 Max Points,Quiz 5 Submission Time,Quiz 5 Due Date
OH6BA9C, Krisztina, Huber,19,20, 2021-11-06 21:02:51, 2022-01-09 23:59:59,20,20, 2022-04-25 12:02:33, 2021-11-27 23:59:59,17,20, 2022-05-28 00:30:15, 2022-02-14 23:59:59,16,20, 2022-03-19 15:41:19, 2022-05-13 23:59:59,17,20, 2022-05-10 12:16:57, 2022-05-17 23:59:59
BMXG3FN, Caesarius, Tenniso,20,20, 2021-12-24 20:50:34, 2022-01-09 23:59:59,20,20, 2021-12-29 01:35:39, 2021-11-27 23:59:59,20,20, 2021-12-05 04:08:57, 2022-02-14 23:59:59,19,20, 2022-04-15 02:04:28, 2022-05-13 23:59:59,18,20, 2022-01-31 19:37:18, 2022-05-17 23:59:59
H54A5TS, Tye, Hayle,20,20, 2022-01-06 13:25:47, 2022-01-09 23:59:59,15,20, 2021-11-20 11:17:07, 2021-11-27 23:59:59,17,20, 2022-04-26 13:49:27, 2022-02-14 23:59:59,17,20, 2021-09-08 12:49:53, 2022-05-13 23:59:59,17,20, 2021-10-27 14:58:09, 2022-05-17 23:59:59
QROVINT, Reanna, River,16,20, 2021-10-25 16:40:33, 2022-01-09 23:59:59,19,20, 2022-04-13 18:42:57, 2021-11-27 23:59:59,19,20, 2021-09-01 06:59:20, 2022-02-14 23:59:59,19,20, 2021-10-05 05:40:07, 2022-05-13 23:59:59,16,20, 2022-05-03 09:18:13, 2022-05-17 23:59:59
ULL76P6, Cali, Woodha,20,20, 2022-06-06 05:27:47, 2022-01-09 23:59:59,20,20, 2022-01-15 14:45:31, 2021-11-27 23:59:59,20,20, 2021-12-05 06:10:10, 2022-02-14 23:59:59,19,20, 2022-02-28 17:47:27, 2022-05-13 23:59:59,18,20, 2022-05-28 09:03:30, 2022-05-17 23:59:59
HDOOYGV, Alphonzo, Aker,19,20, 2022-02-06 10:14:42, 2022-01-09 23:59:59,18,20, 2021-11-14 02:59:32, 2021-11-27 23:59:59,15,20, 2021-12-05 12:56:41, 2022-02-14 23:59:59,16,20, 2021-11-30 17:30:06, 2022-05-13 23:59:59,15,20, 2021-10-15 05:52:53, 2022-05-17 23:59:59
91OMF38, Milo, Hai,15,20, 2022-04-20 22:21:34, 2022-01-09 23:59:59,17,20, 2021-10-23 16:55:30, 2021-11-27 23:59:59,16,20, 2021-11-07 20:39:36, 2022-02-14 23:59:59,20,20, 2021-11-12 16:35:19, 2022-05-13 23:59:59,15,20, 2022-05-14 16:11:32, 2022-05-17 23:59:59
2HYQJQT, Clem, Darc,20,20, 2021-12-08 08:33:27, 2022-01-09 23:59:59,18,20, 2022-03-11 17:07:16, 2021-11-27 23:59:59,16,20, 2021-10-01 20:55:34, 2022-02-14 23:59:59,20,20, 2021-11-17 19:42:55, 2022-05-13 23:59:59,16,20, 2022-03-18 20:32:01, 2022-05-17 23:59:59
MMBP1HB, Sallie, Whittl,16,20, 2022-05-04 07:27:48, 2022-01-09 23:59:59,15,20, 2021-09-26 13:41:18, 2021-11-27 23:59:59,15,20, 2021-10-28 02:26:44, 2022-02-14 23:59:59,15,20, 2022-05-29 23:17:56, 2022-05-13 23:59:59,15,20, 2022-03-20 13:06:56, 2022-05-17 23:59:59
4JNHPMA, Indigo, Hardwic,15,20, 2022-03-30 05:16:42, 2022-01-09 23:59:59,15,20, 2021-12-06 12:51:51, 2021-11-27 23:59:59,18,20, 2021-11-05 20:04:10, 2022-02-14 23:59:59,17,20, 2021-12-01 20:36:21, 2022-05-13 23:59:59,17,20, 2022-04-20 13:51:34, 2022-05-17 23:59:59
E39KSQ5, Elliana, Porte,18,20, 2022-02-18 19:04:32, 2022-01-09 23:59:59,19,20, 2022-05-29 22:15:51, 2021-11-27 23:59:59,16,20, 2022-04-11 17:33:54, 2022-02-14 23:59:59,18,20, 2021-09-11 23:34:12, 2022-05-13 23:59:59,15,20, 2022-05-01 21:38:34, 2022-05-17 23:59:59
4MATDNQ, Rosanne, Gillia,20,20, 2021-09-23 20:57:53, 2022-01-09 23:59:59,20,20, 2022-01-07 09:12:11, 2021-11-27 23:59:59,15,20, 2022-01-02 13:30:12, 2022-02-14 23:59:59,18,20, 2022-04-23 18:13:59, 2022-05-13 23:59:59,16,20, 2022-03-27 13:43:59, 2022-05-17 23:59:59
0LSKZJZ, Indy, Whit,15,20, 2022-02-23 02:40:29, 2022-01-09 23:59:59,15,20, 2021-11-02 20:13:36, 2021-11-27 23:59:59,16,20, 2021-12-07 00:18:56, 2022-02-14 23:59:59,20,20, 2022-04-14 14:27:44, 2022-05-13 23:59:59,17,20, 2021-10-06 09:18:17, 2022-05-17 23:59:59
E7J4CYB, Glenna, Haywar,18,20, 2021-11-29 15:34:42, 2022-01-09 23:59:59,16,20, 2021-09-16 09:36:54, 2021-11-27 23:59:59,15,20, 2022-03-05 06:32:41, 2022-02-14 23:59:59,15,20, 2021-10-11 02:45:05, 2022-05-13 23:59:59,19,20, 2022-04-25 13:18:48, 2022-05-17 23:59:59
5VRGYI6, Elma, Burnha,17,20, 2022-01-13 09:39:57, 2022-01-09 23:59:59,16,20, 2021-09-18 02:01:32, 2021-11-27 23:59:59,18,20, 2021-12-16 20:55:31, 2022-02-14 23:59:59,20,20, 2021-09-22 14:25:20, 2022-05-13 23:59:59,19,20, 2022-03-11 13:00:35, 2022-05-17 23:59:59
92664UB, Royce, Simo,17,20, 2022-03-18 18:22:27, 2022-01-09 23:59:59,17,20, 2021-11-28 21:18:03, 2021-11-27 23:59:59,17,20, 2022-01-06 17:08:00, 2022-02-14 23:59:59,15,20, 2021-09-12 07:26:38, 2022-05-13 23:59:59,17,20, 2021-12-06 10:26:55, 2022-05-17 23:59:59
KTDUKYU, Stephani, Dudle,15,20, 2021-10-18 11:05:35, 2022-01-09 23:59:59,17,20, 2022-04-01 08:12:20, 2021-11-27 23:59:59,18,20, 2022-03-12 07:21:09, 2022-02-14 23:59:59,17,20, 2022-01-29 16:57:19, 2022-05-13 23:59:59,19,20, 2022-03-12 00:40:24, 2022-05-17 23:59:59
FNQ2F6S, Krista, Ead,18,20, 2022-04-23 09:58:07, 2022-01-09 23:59:59,19,20, 2022-05-09 15:22:54, 2021-11-27 23:59:59,18,20, 2022-04-15 04:20:57, 2022-02-14 23:59:59,15,20, 2021-11-02 08:04:57, 2022-05-13 23:59:59,16,20, 2022-02-08 12:20:42, 2022-05-17 23:59:59
192ZRXP, Merrilyn, Cook,16,20, 2022-03-30 20:18:36, 2022-01-09 23:59:59,15,20, 2022-03-03 05:24:28, 2021-11-27 23:59:59,17,20, 2022-04-30 01:02:04, 2022-02-14 23:59:59,20,20, 2021-10-04 21:09:30, 2022-05-13 23:59:59,19,20, 2021-11-22 00:56:21, 2022-05-17 23:59:59
