ID,Name,NetID,Email Address
118,"""Huber,  Krisztina Karen""",OH6BA9C, Krisztina_Karen. Huber@UNIV.EDU
129,"""Tenniso,  Caesarius Michael""",BMXG3FN, Caesarius_Michael. Tenniso@UNIV.EDU
675,"""Hayle,  Tye John""",H54A5TS, Tye_John. Hayle@UNIV.EDU
424,"""River,  Reanna David""",QROVINT, Reanna_David. River@UNIV.EDU
618,"""Woodha,  Cali Susan""",ULL76P6, Cali_Susan. Woodha@UNIV.EDU
109,"""Aker,  Alphonzo James""",HDOOYGV, Alphonzo_James. Aker@UNIV.EDU
708,"""Hai,  Milo Jessica""",91OMF38, Milo_Jessica. Hai@UNIV.EDU
547,"""Darc,  Clem John""",2HYQJQT, Clem_John. Darc@UNIV.EDU
442,"""Whittl,  Sallie John""",MMBP1HB, Sallie_John. Whittl@UNIV.EDU
588,"""Hardwic,  Indigo Michael""",4JNHPMA, Indigo_Michael. Hardwic@UNIV.EDU
783,"""Porte,  Elliana David""",E39KSQ5, Elliana_David. Porte@UNIV.EDU
634,"""Gillia,  Rosanne Susan""",4MATDNQ, Rosanne_Susan. Gillia@UNIV.EDU
747,"""Whit,  Indy David""",0LSKZJZ, Indy_David. Whit@UNIV.EDU
153,"""Haywar,  Glenna James""",E7J4CYB, Glenna_James. Haywar@UNIV.EDU
638,"""Burnha,  Elma William""",5VRGYI6, Elma_William. Burnha@UNIV.EDU
450,"""Simo,  Royce William""",92664UB, Royce_William. Simo@UNIV.EDU
468,"""Dudle,  Stephani Michelle""",KTDUKYU, Stephani_Michelle. Dudle@UNIV.EDU
271,"""Ead,  Krista David""",FNQ2F6S, Krista_David. Ead@UNIV.EDU
772,"""Cook,  Merrilyn David""",192ZRXP, Merrilyn_David. Cook@UNIV.EDU
441,"""Whiner,  Kayden Sandra""",PUK5MD8, Kayden_Sandra. Whiner@UNIV.EDU
932,"""Osbourn,  Griffin Robert""",R8NK7QQ, Griffin_Robert. Osbourn@UNIV.EDU
550,"""Alliso,  Louie Sarah""",6OL0TOR, Louie_Sarah. Alliso@UNIV.EDU
484,"""Hex,  Evangeline Dorothy""",8C23S8Q, Evangeline_Dorothy. Hex@UNIV.EDU
196,"""Lov,  Wilkie James""",S8FT2RP, Wilkie_James. Lov@UNIV.EDU
449,"""Atkinso,  Aubree Donna""",3V9LLN0, Aubree_Donna. Atkinso@UNIV.EDU
966,"""Gor,  Marshall James""",189WHWR, Marshall_James. Gor@UNIV.EDU
432,"""Iver,  Memphis Sarah""",5ASK9L7, Memphis_Sarah. Iver@UNIV.EDU
230,"""Re,  Rodge Robert""",0209YIH, Rodge_Robert. Re@UNIV.EDU
647,"""Beverle,  Ivy Richard""",PLRXVYQ, Ivy_Richard. Beverle@UNIV.EDU
706,"""Southgat,  Trudie David""",21VGY23, Trudie_David. Southgat@UNIV.EDU
380,"""Corwi,  Osborn Michelle""",SPXSHRH, Osborn_Michelle. Corwi@UNIV.EDU
586,"""Ackerma,  Zaria Susan""",UMGK0LE, Zaria_Susan. Ackerma@UNIV.EDU
563,"""Foste,  Dulcibella William""",XDBDLWR, Dulcibella_William. Foste@UNIV.EDU
787,"""Marlo,  Finlay Dorothy""",ZCZQ374, Finlay_Dorothy. Marlo@UNIV.EDU
613,"""Hartel,  Felicity James""",UDXDPV9, Felicity_James. Hartel@UNIV.EDU
470,"""Sime,  Vera Michelle""",VWPSMGA, Vera_Michelle. Sime@UNIV.EDU
495,"""Emme,  Petronel Susan""",WR1JW96, Petronel_Susan. Emme@UNIV.EDU
221,"""Fran,  Emmitt William""",VTMHGYG, Emmitt_William. Fran@UNIV.EDU
104,"""Sawye,  Sterling Dorothy""",AQWLQBP, Sterling_Dorothy. Sawye@UNIV.EDU
570,"""Warric,  Justine James""",IQVZFUS, Justine_James. Warric@UNIV.EDU
393,"""Garne,  Valorie Michael""",11RJN3N, Valorie_Michael. Garne@UNIV.EDU
284,"""Butle,  Raelyn Robert""",LLAMO6F, Raelyn_Robert. Butle@UNIV.EDU
136,"""Cris,  Maree Betty""",W4ZJH3I, Maree_Betty. Cris@UNIV.EDU
679,"""Waldrou,  Priscilla William""",5HNWNGI, Priscilla_William. Waldrou@UNIV.EDU
980,"""Chapli,  Cale Michael""",FSOJJ3G, Cale_Michael. Chapli@UNIV.EDU
545,"""Marlo,  Ethelinda William""",66APVRD, Ethelinda_William. Marlo@UNIV.EDU
